id;direccion;colonia;codigo_postal;geolocalizacion
1;leverage Toys software;Incredible;Concr;Ranch impactful
2;Berkshire Awesome;pixel Pennsylvania;archi;viral
3;payment Illinois dot-com;methodology Integration Music;Pants;Avon
4;blue scalable Car;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh;Jewelery Engineer Bedfordshire
5;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing;silve;system
6;Buckinghamshire;Bouvet Island (Bouvetoya);Auto ;Applications
7;Montenegro;frictionless;Rubbe;Trinidad and Tobago Dollar
8;Customer-focused;Shoes Rubber Mall;users;transmitting parse infrastructures
9;matrix Implementation Shirt;Mobility;Arizo;override back-end hacking
10;open-source;payment National;HDD;Tanzanian Shilling Lights
