id;tipo_movimiento;cantidad;total_anterior;total_final;fecha_movimiento
1;ENTRADA;81910;7776;79941;2020-04-22T15:17:30
2;ENTRADA;31459;9158;80743;2020-04-21T17:19:57
3;SALIDA;18513;8670;54190;2020-04-21T16:21:07
4;SALIDA;72410;69227;63723;2020-04-21T18:58:02
5;ENTRADA;98766;5159;94405;2020-04-21T23:16:12
6;SALIDA;99935;18057;55580;2020-04-22T01:43:02
7;SALIDA;69742;73102;29734;2020-04-22T10:43:32
8;SALIDA;74506;86204;5488;2020-04-21T19:04:44
9;ENTRADA;3700;65016;59626;2020-04-22T06:35:43
10;ENTRADA;48106;7695;88499;2020-04-21T22:38:13
