id;total_sin_iva;comision_transportista;comision_preparador;total;fecha_pedido;fecha_preparacion;fecha_cobro;fecha_entrega
1;91185;58622;13911;50588;2020-04-22;2020-04-22;2020-04-22;2020-04-22
2;72609;87212;59296;93211;2020-04-22;2020-04-22;2020-04-21;2020-04-21
3;79008;92249;2302;70723;2020-04-21;2020-04-22;2020-04-21;2020-04-22
4;37443;60671;6892;42413;2020-04-22;2020-04-21;2020-04-22;2020-04-21
5;84043;92556;91068;45083;2020-04-22;2020-04-22;2020-04-22;2020-04-21
6;16552;83889;18632;12466;2020-04-21;2020-04-21;2020-04-22;2020-04-21
7;31144;51883;22739;59127;2020-04-22;2020-04-22;2020-04-22;2020-04-22
8;74424;33519;20557;80285;2020-04-21;2020-04-22;2020-04-22;2020-04-22
9;11426;39816;41450;53739;2020-04-21;2020-04-21;2020-04-21;2020-04-22
10;46570;34695;48083;73750;2020-04-21;2020-04-22;2020-04-22;2020-04-22
