id;nombre;descripcion;caracteristicas;precio_sin_iva;precio;fecha_alta;fecha_modificacion
1;mobile Fish;Home Loan Account Table Computer;Trace;33370;60111;2020-04-22T11:55:07;2020-04-21T22:21:14
2;Movies Producer;Implementation Electronics Officer;methodology Albania;43194;2306;2020-04-22T08:21:29;2020-04-22T02:45:11
3;enable Gorgeous Frozen Pants;Common;Savings Account syndicate Planner;46676;4645;2020-04-21T18:42:33;2020-04-22T00:45:59
4;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries;12203;60999;2020-04-22T03:27:48;2020-04-21T19:21:03
5;Salad;Digitized invoice;convergence;20794;54671;2020-04-22T01:43:22;2020-04-22T10:54:39
6;Facilitator;Views e-enable Communications;National Awesome sky blue;4522;96117;2020-04-22T07:32:22;2020-04-21T19:04:44
7;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;16526;7455;2020-04-22T14:58:20;2020-04-21T15:39:44
8;index orange;Jewelery;monitor;72900;79017;2020-04-21T20:50:14;2020-04-22T00:48:16
9;Identity;Frozen IB;Highway Ergonomic;37081;31098;2020-04-21T23:17:43;2020-04-22T07:32:35
10;pixel withdrawal;Mississippi embrace Developer;synthesize Idaho compress;49379;4043;2020-04-22T02:48:07;2020-04-21T22:17:30
