id;nombre;fecha_alta;fecha_modificacion
1;Music Salad North Carolina;2020-04-22T05:14:01;2020-04-21T22:27:12
2;Forward Money Market Account end-to-end;2020-04-21T19:32:43;2020-04-22T06:14:07
3;Alaska solution-oriented;2020-04-22T00:22:06;2020-04-22T07:03:48
4;generate magnetic;2020-04-21T18:40:56;2020-04-22T08:16:50
5;Metrics;2020-04-21T21:01:17;2020-04-21T20:38:02
6;Fresh;2020-04-22T01:46:09;2020-04-22T03:38:58
7;Central digital supply-chains;2020-04-22T14:48:31;2020-04-22T03:02:56
8;generate;2020-04-21T22:34:32;2020-04-22T00:08:40
9;Down-sized Metal;2020-04-21T19:18:35;2020-04-22T05:13:37
10;Granite Corporate Lari;2020-04-21T22:57:05;2020-04-22T14:54:23
